,text,star,Corrected_scent,app_id,reviewDate
0,Anathi Khanyile,5,Anathi Khanyile,com.fingersoft.hillclimb,18/03/21
1,Tony bahut funny hai Hill climbing racing my favourite game,5,"Tony Bahut Funny Hai Hill climbing, My favourite game.",com.fingersoft.hillclimb,18/03/21
2,Teturwu,1,Teturwu -,com.fingersoft.hillclimb,18/03/21
3,Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,Hooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,com.fingersoft.hillclimb,18/03/21
4,This game is nice,5,This game is nice.,com.fingersoft.hillclimb,18/03/21
5,Rahulyadavo,5,Rahulyadavo,com.fingersoft.hillclimb,18/03/21
6,"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,"First thing is that I like this game, it's fantastic and amazing, although I rate it 4 stars cuz it's right pedal stops working in the game, and that's why I kept falling on the bridge.",com.fingersoft.hillclimb,18/03/21
7,Very taty,3,Very taty.,com.fingersoft.hillclimb,18/03/21
8,good,5,good.,com.fingersoft.hillclimb,18/03/21
9,I LIKE THIS GAME,5,I like this game.,com.fingersoft.hillclimb,18/03/21
10,Racing,5,Racing,com.fingersoft.hillclimb,18/03/21
11,😆😆😆,5,,com.fingersoft.hillclimb,18/03/21
12,Awesome game. easy to use options.,5,Awesome game.,com.fingersoft.hillclimb,18/03/21
13,Very noob game,1,Very noob game.,com.fingersoft.hillclimb,18/03/21
14,Hill climb racing 2 vip game,5,Hill climb racing (2 vip game).,com.fingersoft.hillclimb,18/03/21
